url,likes,title,views,channel,comments,duration,is_short,video_id,thumbnail,scraped_at,subscribers,upload_date,detailed_channel
https://www.youtube.com/watch?v=EdfRK09oS8U,121,1 TAHUN PRABOWO - GIBRAN | Piala Adhi Praya GarudaTV | LIVE EVENT,9.877 x ditonton,GARUDA TV,3,3.42.42,false,EdfRK09oS8U,https://i.ytimg.com/vi/EdfRK09oS8U/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBaPQW72dPEmTv7_h5gO9yQfFcjTg,2025-10-21 15:11:06,372000,Streaming 1 hari yang lalu,GARUDA TV
https://www.youtube.com/watch?v=j0zT2w_22uk,31,"BAHLIL PALING ATAS! 10 Menteri Prabowo dengan Kinerja Terburuk Versi Survei Celios, Siapa Saja?",2.990 x ditonton,TribunJakarta Official,N/A,2.15,false,j0zT2w_22uk,https://i.ytimg.com/vi/j0zT2w_22uk/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAg7wDcXOIUJikUl8kCuS8LtMzy3w,2025-10-21 15:11:06,2300000,20 jam yang lalu,TribunJakarta Official
https://www.youtube.com/watch?v=5qt50v6hG7E,820,Prabowo di Sidang Kabinet Paripurna: Saya Lagi Berpikir Mungkin Setelah 1 Tahun Perlu Retret Lagi,180.535 x ditonton,KOMPASTV,330,10.31,false,5qt50v6hG7E,https://i.ytimg.com/vi/5qt50v6hG7E/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCofjQHnPoESCCVmivXAvT-IBWTjw,2025-10-21 15:11:06,19500000,22 jam yang lalu,KOMPASTV
https://www.youtube.com/watch?v=A2v0HmaIwrA,2,"🔴Prabowo Bikin Gebrakan, Uang Koruptor akan Dipakai untuk Dana Pendidikan LPDP",330 x ditonton,TribunJakarta Official,2,58.05,false,A2v0HmaIwrA,https://i.ytimg.com/vi/A2v0HmaIwrA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCQzFlFtAjJ7rTHsIK2HMnbjFtRFQ,2025-10-21 15:11:06,2300000,Streaming 31 menit yang lalu,TribunJakarta Official
https://www.youtube.com/watch?v=w0ajF8rq7k8,48,"[FULL] Pidato Presiden Prabowo di 1 Tahun Pemerintahan, Singgung Pencapaian MBG | BREAKING NEWS",4.147 x ditonton,Official iNews,14,1.31.49,false,w0ajF8rq7k8,https://i.ytimg.com/vi/w0ajF8rq7k8/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLCGVCwkJY9A1fKz9v5qauPCD9329g,2025-10-21 15:11:06,10100000,20 jam yang lalu,Official iNews
https://www.youtube.com/watch?v=FacCotdc0HU,87,[FULL] Golkar-Pengamat Kupas Setahun Pemerintahan Prabowo Gibran: Konsolidasi Politik-Reshuffle,15.986 x ditonton,KOMPASTV,66,12.54,false,FacCotdc0HU,https://i.ytimg.com/vi/FacCotdc0HU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBRVzl4ScWOkdJuqxKuB2RsI9Gnhw,2025-10-21 15:11:10,19500000,21 jam yang lalu,KOMPASTV
https://www.youtube.com/watch?v=2fBrRkMc4Fc,10,"BREAKING NEWS - Presiden Prabowo Saksikan Penyerahan Rp13,3 T Uang Korupsi ke Negara",4.646 x ditonton,METRO TV ,4,8.49,false,2fBrRkMc4Fc,https://i.ytimg.com/vi/2fBrRkMc4Fc/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLABCVhg7cAV1M3cSY9zaofUAmX4Eg,2025-10-21 15:11:10,10900000,1 hari yang lalu,METRO TV 
https://www.youtube.com/watch?v=avobsvVdJrM,4,"🔴 Sikat Habis Koruptor‼ PIDATO FULL Prabowo Depan Tumpukan Uang Korupsi Rp13,2 Triliun Sitaan Jaksa💰",680 x ditonton,Tribun Timur,3,24.45,false,avobsvVdJrM,https://i.ytimg.com/vi/avobsvVdJrM/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAkLH5WF-ZG_5jvRhpL0gY2Qgmylw,2025-10-21 15:11:10,9220000,9 jam yang lalu,Tribun Timur
https://www.youtube.com/watch?v=4zuk3vuq5MI,460,REAKSI PURBAYA Dengar Perintah Langsung dari Presiden Prabowo : Saya Minta Menteri Keuangan..,130.200 x ditonton,Tribun MedanTV,173,2.03,false,4zuk3vuq5MI,https://i.ytimg.com/vi/4zuk3vuq5MI/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAWx_7YZ3lIZ4HmyqtaPsOzQzK7LQ,2025-10-21 15:11:10,5850000,9 jam yang lalu,Tribun MedanTV
https://www.youtube.com/watch?v=X8KLAdUwD90,361,Momen Purbaya Siap Push Up di Hadapan Prabowo Karena Telat Datang di Kejagung,39.488 x ditonton,Tribun Sumsel,91,2.51,false,X8KLAdUwD90,https://i.ytimg.com/vi/X8KLAdUwD90/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLBvHmjjofm8u_7XKlGRONoTlzevvQ,2025-10-21 15:11:10,3830000,21 jam yang lalu,Tribun Sumsel
https://www.youtube.com/watch?v=2Bw1QDInoUU,N/A,"Prabowo Blak-blakan Pidato Satu Tahun Kepemimpinan, Puji Warisan Jokowi: Jangan Anggap Remeh!",4.195 x ditonton,MerdekaDotCom,36,7.08,false,2Bw1QDInoUU,https://i.ytimg.com/vi/2Bw1QDInoUU/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLAN9n6rfG2A6y3I9sDsKKJLOlEBog,2025-10-21 15:11:10,3630000,22 jam yang lalu,MerdekaDotCom
https://www.youtube.com/watch?v=mQfNhnZfEzA,N/A,PoV Times : 1 Tahun Pemerintahan Prabowo: Setahun Penuh “Roller Coaster”,5.965 x ditonton,IDN Times,20,37.59,false,mQfNhnZfEzA,https://i.ytimg.com/vi/mQfNhnZfEzA/hq720.jpg?sqp=-oaymwEnCNAFEJQDSFryq4qpAxkIARUAAIhCGAHYAQHiAQoIGBACGAY4AUAB&rs=AOn4CLA8geALOzC7x8iCTE0MK7CnK9Ia1Q,2025-10-21 15:11:10,610000,20 jam yang lalu,IDN TIMES
